time,open,high,low,close,volume,ema,rsi,obv,vwap,bb_upper,bb_middle,bb_lower
2023-09-20T08:00:00,435,435,429.05,432.1,61001,,,,432.1,,,
2023-09-20T09:00:00,432.2,432.51,431.76,432.12,14654,,,14654,432.1038739012623,,,
2023-09-20T10:00:00,432.2,432.2,431.5,431.5,11708,,,2946,432.0229454116731,,,
2023-09-20T11:00:00,431.78,434.91,431.78,433.8,100280,,,103226,432.9726372952895,,,
2023-09-20T12:00:00,431.99,436.99,431.85,436.8,248029,,,351255,435.1515630566114,,,
2023-09-20T13:00:00,436.74,439.03,432.8326,437.5152,5195497,,,5546752,437.33233025583144,,,
2023-09-20T14:00:00,437.52,437.59,433.79,434.19,5083432,,,463320,435.8414840566065,,,
2023-09-20T15:00:00,434.1622,435.4699,432.66,435.46,3865045,,,4328365,435.7403531343902,,,
2023-09-20T16:00:00,435.405,435.96,434.61,434.9,2027570,,,2300795,435.63775467329384,,,
2023-09-20T17:00:00,434.95,435,431.1,432.37,3046874,,,-746079,435.13117122158286,,,
2023-09-20T18:00:00,432.35,433.8797,429.13,430.715,5924254,,,-6670333,434.1083325255302,,,
2023-09-20T19:00:00,430.6101,431.5599,422.23,422.31,8209342,,,-14879675,431.24170985324065,,,
2023-09-20T20:00:00,422.31,422.41,419.52,420.87,2204322,,,-17083997,430.6064969413321,,,
2023-09-20T21:00:00,420.9,422.39,420.18,420.75,535238,,,-17619235,430.4620685409571,,,
2023-09-20T22:00:00,420.72,421.5,420.3,420.35,89267,429.66667904761914,27.712781293151778,-17708502,430.43741643870896,,,
2023-09-20T23:00:00,420.3,420.65,420.1,420.34,86961,428.4231218412699,27.64739814196362,-17795463,430.41349277875986,,,
2023-09-21T08:00:00,417.7,419.61,416,416.47,51014,426.82937226243394,24.61182956987065,-17846477,430.3941396771573,,,
2023-09-21T09:00:00,416.82,416.99,415.45,415.64,54503,425.3374559607761,17.721752978983503,-17900980,430.37229325178737,,,
2023-09-21T10:00:00,415.8,416.54,415.26,416.54,47814,424.1644618326726,11.083963365910634,-17853166,430.35434874277354,,,
2023-09-21T11:00:00,416.59,416.95,412,413.1,299456,422.6892002549829,7.546461161807301,-18152622,430.21528958778714,442.9118234773038,426.89201000000014,410.87219652269647
2023-09-21T12:00:00,413.2,419.2,411.5,412.39,608207,421.3159735543185,8.30145371078811,-18760829,429.9282084642209,442.9178770728605,425.9065100000001,408.89514292713966
2023-09-21T13:00:00,412.5,421,412,413.2401,8664463,420.2391904137427,6.804405892667717,-10096366,426.8139110808022,442.5746755803803,424.96251500000005,407.3503544196198
2023-09-21T14:00:00,413.6,418.25,412.71,416.0469,9123190,419.680218358577,16.293904580057244,-973176,425.0456709838622,441.94232781305635,424.18986000000007,406.4373921869438
2023-09-21T15:00:00,415.99,417.2,413.33,413.76,4812789,418.89085591076673,16.436779950800485,-5785965,424.1458841181359,440.9197390660664,423.1878600000001,405.4559809339338
2023-09-21T16:00:00,413.78,415.4431,412.9,413.52,3706762,418.17474178933116,17.320820409900975,-9492727,423.53114093700725,439.07189166156144,422.02386000000007,404.9758283384387
2023-09-21T17:00:00,413.545,416.6,413.1501,414.72,3635333,417.7141095507537,30.13484228268743,-5857394,423.05805205328016,436.63567526357286,420.88410000000005,405.13252473642723
2023-09-21T18:00:00,414.7,414.9,412.37,412.38,3504251,417.0028949439865,28.77903198392322,-9361645,422.53259334509846,434.707013783705,419.7936000000001,404.88018621629516
2023-09-21T19:00:00,412.41,412.96,409.8,410.06,7991547,416.07717561812166,25.927543933921413,-17353192,421.27411116828404,432.1551694871868,418.5236000000001,404.8920305128134
2023-09-21T20:00:00,410.05,414.22,408.75,409.5999,2141067,415.21353886903876,25.857554157178356,-19494259,420.9668321036976,429.1627087859944,417.2585950000001,405.35448121400583
2023-09-21T21:00:00,409.55,409.55,407.2538,407.64,197920,414.20373368650024,23.775285167962267,-19692179,420.93448492797376,426.4348159589954,416.0220950000001,405.6093740410048
2023-09-21T22:00:00,407.75,409.14,407.75,408.54,101032,413.44856919496686,31.33573089560268,-19591147,420.9191469035086,423.3707387575297,414.9133450000001,406.4559512424705
2023-09-21T23:00:00,408.46,408.52,407.68,408.15,126365,412.7420933023046,31.99848104673204,-19717512,420.8994136359091,422.4351031525766,414.205345,405.9755868474235
2023-09-22T08:00:00,412.73,414.54,411.84,414.36,80755,412.9578141953307,45.82596175202386,-19636757,420.8929617028318,421.5235598448841,413.8798450000001,406.2361301551161
2023-09-22T09:00:00,414.25,415.9,413.83,415.4,31312,413.2834389692866,54.849496917406604,-19605445,420.89086115345776,420.62394395672163,413.612345,406.6007460432784
2023-09-22T10:00:00,415.45,415.45,414.6,414.6,30578,413.45898044004844,54.64211596467796,-19636023,420.8885127509419,419.6452712854573,413.3248449999999,407.00441871454257
2023-09-22T11:00:00,414.5,414.75,413.3,413.75,120943,413.497783048042,51.07105197931416,-19756966,420.87798826060697,418.44577423538135,412.995345,407.5449157646186
2023-09-22T12:00:00,413.05,416.37,411.85,416.09,468160,413.8434119749697,50.09234302756574,-19288806,420.85081833115,418.3806458141571,412.9763449999999,407.57204418584274
2023-09-22T13:00:00,416.09,419.14,413.35,416.75,6785882,414.2309570449737,56.88622754491015,-12502924,420.5391522842058,418.56567090166163,413.0318450000001,407.49801909833855
2023-09-22T14:00:00,416.77,420.3,412.31,419.71,9855658,414.96149610564385,62.6688497748669,-2647266,420.4567270538184,419.27153408190657,413.190345,407.1091559180934
2023-09-22T15:00:00,419.74,421.15,418.29,418.4401,7782129,415.42530995822466,57.59207180437457,-10429395,420.30995398858727,419.9539681231468,413.45734999999996,406.9607318768531
2023-09-22T16:00:00,418.46,419.9,418,418.959,3570378,415.89646863046136,64.50473570030158,-6859017,420.26630117908803,420.6850979909553,413.7858,406.8865020090447
2023-09-22T17:00:00,418.96,418.96,414.89,414.93,4584037,415.7676061463999,59.98450044694476,-11443054,420.05373591514467,420.78217145852415,413.870295,406.95841854147585
2023-09-22T18:00:00,414.9274,416.06,412.99,415.4888,4569510,415.7304319935466,62.02478916954243,-6873544,419.879395950517,420.7233282531454,413.84238999999997,406.96145174685455
2023-09-22T19:00:00,415.46,419.79,415.3,416.15,7014136,415.78637439440706,68.35016689811016,140592,419.6728750282328,420.9155829327948,413.96189000000004,407.0081970672053
2023-09-22T20:00:00,416.1,416.75,415.9,416.2,2149610,415.8415244751528,67.14582456642992,2290202,419.61491993901916,421.1133535961721,414.09589000000005,407.078426403828
2023-09-22T21:00:00,416.2,416.4675,416.16,416.38,23082,415.91332121179914,68.59651659902933,2313284,419.6143403743424,421.2628696981358,414.17888999999997,407.09491030186416
2023-09-22T22:00:00,416.44,416.44,415.92,415.92,39178,415.9142117168926,54.76254441988549,2274106,419.6132172908164,421.4281275613097,414.35589,407.2836524386903
2023-09-22T23:00:00,416,416,415.2,415.87,66992,415.908316821307,51.527183872938394,2207114,419.61127248980017,421.46156092695406,414.64639,407.83121907304593
2023-09-25T08:00:00,419.9,419.9,414.57,415.59,40222,415.86587457846605,53.32934260616886,2166892,419.61001848585516,421.36246803285013,414.94589499999995,408.52932196714977
2023-09-25T09:00:00,415.82,416.8,414.5,415.4,15375,415.80375796800394,55.806669575866685,2151517,419.60951669920894,420.8052984219659,415.33389500000004,409.86249157803417
2023-09-25T10:00:00,415.36,415.87,415,415.3,8641,415.73659023893674,46.69947692976169,2142876,419.60922804130445,420.1716846979636,415.67189499999995,411.1721053020363
2023-09-25T11:00:00,415.48,415.96,412.35,412.48,106329,415.30237820707856,34.8879514149408,2036547,419.6033568354017,419.17206309922983,415.88839499999995,412.60472690077006
2023-09-25T12:00:00,415.21,419.43,411,413.3,252345,415.0353944461348,23.26448556031977,2288892,419.5910611798651,419.24772553292013,415.8353949999999,412.42306446707966
