ticker,episode_id,start_time,end_time,duration,direction,total_return,pullback_pct,lr_slope_5,lr_slope_5_norm,avg_volume,max_volume,avg_rsi,avg_volatility,obv_change,avg_vwap,price_start,price_end,price_delta,rsi_start,rsi_end,vwap_start,vwap_end,obv_start,obv_end,ema_start,ema_end,bb_upper_start,bb_upper_end,bb_middle_start,bb_middle_end,bb_lower_start,bb_lower_end,cluster,regime_label
GLD,GLD_2023-05-04T04:00:00_2023-10-05T04:00:00,2023-05-04T04:00:00,2023-10-05T04:00:00,107,down,-0.11347406007141347,,-0.09705989537412564,-0.0005096612863585677,6422972.1869158875,14146787,44.67312934574483,0.006947844291625052,-142290231,176.83862224386786,190.44,168.83,-21.609999999999985,63.70967741935479,13.451191391237359,175.17237878736233,177.00025219503604,193362758,51072527,186.4646548942277,173.1480174514136,189.72235467308454,183.0304427334837,186.22600000000003,175.53699999999998,182.72964532691552,168.04355726651625,0,Deep Downtrend regime
GLD,GLD_2023-10-05T04:00:00_2024-10-30T04:00:00,2023-10-05T04:00:00,2024-10-30T04:00:00,270,up,0.5252028667890776,,0.2696185651075842,0.001596982557054932,7219088.766666667,30884006,59.09121046351,0.008826443561028562,266906458,183.74728877653888,168.83,257.5,88.66999999999999,13.451191391237359,83.82488479262668,177.00025219503604,194.22010067892188,51072527,317978985,173.1480174514136,251.48716143454632,183.0304427334837,258.13999729308574,175.53699999999998,248.67349999999996,168.04355726651625,239.2070027069142,1,Strong Uptrend regime
IWM,IWM_2023-02-02T05:00:00_2023-03-23T04:00:00,2023-02-02T05:00:00,2023-03-23T04:00:00,35,down,-0.14153892698668813,,-0.7492184873949582,-0.003777826176860419,31747001.942857143,73852725,43.20505235624004,0.020472871797778916,-176295691,182.51568086109026,198.32,170.25,-28.069999999999993,71.84330185379496,25.535344232097643,181.324597270859,181.4629895902871,356136421,179840730,188.65837618481154,176.83387069231097,196.92510821807636,195.22004103235358,185.70349999999996,180.73449999999997,174.48189178192357,166.24895896764636,0,Deep Downtrend regime
IWM,IWM_2023-03-23T04:00:00_2023-07-31T04:00:00,2023-03-23T04:00:00,2023-07-31T04:00:00,89,up,0.16716593245227607,,0.257740381341505,0.0015138935761615565,30517313.078651685,60716264,55.13440261225043,0.015433080869738514,231518668,180.2333988604756,170.25,198.71,28.460000000000008,25.535344232097643,69.80880391285011,181.4629895902871,181.24414575788842,179840730,411359398,176.83387069231097,194.24610226296772,195.22004103235358,201.0508306166863,180.73449999999997,192.334,166.24895896764636,183.6171693833137,1,Strong Uptrend regime
IWM,IWM_2023-07-31T04:00:00_2023-10-27T04:00:00,2023-07-31T04:00:00,2023-10-27T04:00:00,64,down,-0.1836847667455085,,-0.46820283882783886,-0.002356211759991137,29787091.6875,54421906,36.37112267151455,0.014548375525625285,-515572304,181.69707895158172,198.71,162.21,-36.5,69.80880391285011,29.538354737938164,181.24414575788842,180.60561673147757,411359398,-104212906,194.24610226296772,168.094875225542,201.0508306166863,178.43446457248217,192.334,170.21699999999998,183.6171693833137,161.9995354275178,0,Deep Downtrend regime
IWM,IWM_2023-10-27T04:00:00_2024-07-16T04:00:00,2023-10-27T04:00:00,2024-07-16T04:00:00,179,up,0.3846248689969791,,0.16040667043290868,0.000988882747259162,35651529.83798882,86247438,54.769604423046935,0.014750185084101596,827500503,183.75554814039884,162.21,224.6,62.389999999999986,29.538354737938164,87.23667905824044,180.60561673147757,187.81171383868107,-104212906,723287597,168.094875225542,208.53198859386225,178.43446457248217,217.40858173382213,170.21699999999998,204.3295,161.9995354275178,191.25041826617786,1,Strong Uptrend regime
IWM,IWM_2024-07-16T04:00:00_2024-08-07T04:00:00,2024-07-16T04:00:00,2024-08-07T04:00:00,17,down,-0.10071237756010687,,-1.0798039215686273,-0.0048076755190054644,48204077.11764706,71508116,62.802738945756616,0.02620553252986644,-184784566,188.63874262042748,224.6,201.98,-22.620000000000005,87.23667905824044,33.68743615934629,187.81171383868107,189.29249173367018,723287597,538503031,208.53198859386225,212.25661952332246,217.40858173382213,230.7633284520248,204.3295,216.52249999999998,191.25041826617786,202.28167154797515,0,Deep Downtrend regime
IWM,IWM_2024-08-07T04:00:00_2024-11-08T05:00:00,2024-08-07T04:00:00,2024-11-08T05:00:00,67,up,0.1789286067927518,,0.26462806289408575,0.001310169635083106,25616419.67164179,75554567,53.46633975867377,0.015137518473092608,306107354,190.7121667957162,201.98,238.12,36.140000000000015,33.68743615934629,73.23085846867748,189.29249173367018,192.37193945209134,538503031,844610385,212.25661952332246,226.66316574257218,230.7633284520248,236.16414461824087,216.52249999999998,224.20499999999998,202.28167154797515,212.2458553817591,1,Strong Uptrend regime
IWM,IWM_2024-07-31T18:30:00_2024-08-05T12:00:00,2024-07-31T18:30:00,2024-08-05T12:00:00,84,down,-0.13406940063091488,,-0.30515472511896313,-0.0013369905587055867,2025986.261904762,10521959,33.71808577802247,0.006474211427385251,-55301980,207.20865610687775,228.24,197.64,-30.600000000000023,69.38914946264359,13.124583610925882,206.8098027498954,207.33743276182915,80356027,25054047,224.64081325270035,202.05696998032747,226.40705735606136,213.5744690505114,224.23823000000002,204.685,222.06940264393867,195.7955309494886,0,Deep Downtrend regime
IWM,IWM_2024-08-05T12:00:00_2024-11-07T11:30:00,2024-08-05T12:00:00,2024-11-07T11:30:00,2141,up,0.20952236389394874,,0.007841666755742705,0.00003967651667548424,817307.1877627277,16914156,51.849436662737475,0.0029492980747578223,47524480,208.84029982294157,197.64,239.05,41.410000000000025,13.124583610925882,72.75000000000043,207.33743276182915,211.33855744783722,25054047,72578527,202.05696998032747,237.64309401168626,213.5744690505114,238.69290931965665,204.685,237.32000000000002,195.7955309494886,235.9470906803434,1,Strong Uptrend regime
